building_id,date,lease_cost,total_operating_expense,energy_costs,utilities_costs,maintenance_costs,catering_costs,cleaning_costs,security_costs,insurance_costs,waste_disposal_costs,other_costs
B001,01/01/2020,0,21574,4657,5185,3759,1290,3780,2240,1029,1478,2813
B001,01/02/2020,0,17808,3640,4091,2122,921,1682,3039,1292,1783,2878
B001,01/03/2020,0,21070,3482,4256,4559,1374,1982,4003,1477,1384,2035
B001,01/04/2020,0,27364,9148,10912,4369,1965,1264,4961,1196,1910,787
B001,01/05/2020,0,22411,8792,10021,1777,1775,2198,2016,2724,1010,890
B001,01/06/2020,0,27892,6287,7114,3740,1461,3606,4749,2971,1791,2460
B001,01/07/2020,0,22176,6182,7197,2686,1656,1246,4490,2356,1725,820
B001,01/08/2020,0,19715,5607,6317,2527,1752,1728,2471,2106,1790,1024
B001,01/09/2020,0,24955,8666,10477,4145,513,3016,2502,1038,1004,2260
B001,01/10/2020,0,23136,6314,7105,1944,925,3025,3708,1899,1801,2729
B001,01/11/2020,0,27982,7138,8913,3551,1520,3164,4633,2080,1708,2413
B001,01/12/2020,0,27616,7278,8759,3954,1421,3562,3815,2372,1520,2213
B001,01/01/2021,0,19781,4405,5105,2945,1249,2366,3398,1841,1783,1094
B001,01/02/2021,0,19619,5845,6590,1241,842,2108,4753,2565,841,679
B001,01/03/2021,0,18257,3007,3353,1907,1610,2460,4855,1096,1608,1368
B001,01/04/2021,0,22725,4367,5004,4691,1726,2683,4793,1707,1469,652
B001,01/05/2021,0,23332,6101,7480,4103,1554,1933,2665,2981,1869,747
B001,01/06/2021,0,24141,5250,6312,3474,1276,3761,3701,1846,1314,2457
B001,01/07/2021,0,30144,7710,9533,4336,1769,3741,4918,2969,1253,1625
B001,01/08/2021,0,27573,9378,11290,4963,815,2321,2711,2926,1093,1454
B001,01/09/2021,0,26389,9553,11507,2833,1534,3232,3237,1743,1256,1047
B001,01/10/2021,0,22893,6149,7364,4710,1100,1502,4215,1074,1515,1413
B001,01/11/2021,0,24169,7570,8423,2665,839,3440,4039,2261,1195,1307
B001,01/12/2021,0,25467,7740,9395,3890,1030,1515,4363,2377,1830,1067
B001,01/01/2022,0,21996,4330,4981,4846,1859,1388,3022,2442,1328,2130
B001,01/02/2022,0,30011,8934,10049,4024,837,3813,4974,2063,1633,2618
B001,01/03/2022,0,24159,6147,7264,4580,1917,2028,4859,1522,1452,537
B001,01/04/2022,0,20208,4196,5079,3231,1370,3297,2541,2729,617,1344
B001,01/05/2022,0,22811,5320,6638,4274,1776,2326,3449,1743,1452,1153
B001,01/06/2022,0,26492,6720,8312,3602,828,3690,4650,1029,1441,2940
B001,01/07/2022,0,22293,7101,8404,3167,916,3146,2430,1690,1208,1332
B001,01/08/2022,0,14886,3294,3907,1958,966,2008,2216,2153,1094,584
B001,01/09/2022,0,20789,7119,8852,2609,1068,2380,2115,1775,1046,944
B001,01/10/2022,0,27058,8300,10247,1912,1875,1797,4758,2895,1127,2447
B001,01/11/2022,0,20027,3756,4656,3118,1216,1535,3720,1378,1831,2573
B001,01/12/2022,0,21255,6451,7932,1628,1537,1718,4183,1649,1977,631
B001,01/01/2023,0,20750,6010,6801,3137,753,1852,4288,1110,1142,1667
B001,01/02/2023,0,25421,8915,9973,4888,1415,2645,2861,1497,537,1605
B001,01/03/2023,0,17535,2207,2601,3626,1274,2091,2132,2698,1267,1846
B001,01/04/2023,0,24564,6642,7896,3720,1654,3774,2418,1788,1800,1514
B001,01/05/2023,0,20832,4948,5739,2646,1800,1690,4928,2755,526,748
B001,01/06/2023,0,19276,3039,3472,1461,1825,3005,3577,2984,1203,1749
B001,01/07/2023,0,19487,6221,7425,1587,1959,1073,3157,2063,1485,738
B001,01/08/2023,0,23264,6113,7106,1467,767,3226,3440,2848,1927,2483
B001,01/09/2023,0,22235,4974,5838,3495,1856,1543,4683,1523,1037,2260
B001,01/10/2023,0,25262,9704,11651,3401,738,2782,3623,1362,1003,702
B001,01/11/2023,0,23896,6645,7578,3166,1477,3918,3490,1723,922,1622
B001,01/12/2023,0,24408,8014,9329,1760,1993,2873,3196,2355,921,1981
B001,01/01/2024,0,21734,5640,6391,3836,1329,2892,2472,2283,1194,1337
B001,01/02/2024,0,17897,2109,2532,1562,951,3781,3093,2513,623,2842
B001,01/03/2024,0,16601,3033,3386,1842,1587,3416,3027,2031,785,527
B001,01/04/2024,0,20087,5444,6667,2088,1074,2209,3289,2062,1586,1112
B001,01/05/2024,0,28279,9848,12266,4753,632,3015,3013,2430,1133,1037
B001,01/06/2024,0,16726,2747,3266,2345,627,1275,2297,2493,1849,2574
B001,01/07/2024,0,25273,7952,9490,2325,963,3599,3278,2409,1691,1518
B001,01/08/2024,0,26537,8402,10296,4220,1408,3044,4253,1045,1159,1112
B001,01/09/2024,0,27844,9196,11302,2752,1996,2037,3277,2991,1246,2243
B001,01/10/2024,0,25205,8822,9941,3420,1949,1070,2017,2911,1203,2694
B001,01/11/2024,0,23738,5789,7001,4428,1305,3762,3144,1252,837,2009
B001,01/12/2024,0,19333,2688,3065,3925,957,1534,3805,1824,1778,2445
B001,01/01/2025,0,20218,4380,5206,4210,817,3886,2717,1056,1630,696
B002,01/01/2020,40604,64529,8084,9779,3788,1684,2543,2421,1105,903,1702
B002,01/02/2020,40604,58653,6111,6950,1148,614,3433,2219,1088,1253,1344
B002,01/03/2020,40604,65597,7268,8795,4547,692,3833,2201,1455,1702,1768
B002,01/04/2020,40604,59192,4820,5983,1373,1577,3818,2042,1183,1907,705
B002,01/05/2020,40604,63401,7628,8802,2378,752,1670,3648,1151,1850,2546
B002,01/06/2020,40604,62292,5709,6587,4586,844,1947,2125,1649,1517,2433
B002,01/07/2020,40604,61995,4425,5368,3535,1606,3104,2789,2453,672,1864
B002,01/08/2020,40604,65104,8889,11111,4809,602,1081,2305,1132,1637,1823
B002,01/09/2020,40604,62109,5404,6098,4080,540,2228,2137,2757,1627,2038
B002,01/10/2020,40604,59860,2256,2597,2381,1538,3569,3845,2263,1012,2051
B002,01/11/2020,40604,65144,3871,4558,3480,1550,3871,4218,2654,1630,2579
B002,01/12/2020,40604,61005,5865,6566,2300,1296,1851,2329,1273,1954,2832
B002,01/01/2021,41619,59946,3975,4526,3762,1043,1879,2923,2213,1396,585
B002,01/02/2021,41619,62882,5862,6829,2466,1723,3887,2148,2063,509,1638
B002,01/03/2021,41619,64297,5713,6993,2814,875,1712,4626,2852,1521,1285
B002,01/04/2021,41619,64824,7146,8665,2499,1072,1610,4156,1904,1431,1868
B002,01/05/2021,41619,62660,4131,4612,2899,910,3457,4426,1310,1636,1791
B002,01/06/2021,41619,62604,7441,8464,1939,1400,2275,3295,1556,1121,935
B002,01/07/2021,41619,63660,8024,8976,1275,880,3882,2426,1546,1990,1066
B002,01/08/2021,41619,63429,4418,5402,4147,691,1828,4343,2977,899,1523
B002,01/09/2021,41619,64240,5984,7451,1042,818,3914,3906,2847,1943,700
B002,01/10/2021,41619,65511,7371,8772,2847,1174,2893,4898,1892,676,740
B002,01/11/2021,41619,65172,8464,10077,2696,1800,1474,2184,2677,1798,847
B002,01/12/2021,41619,66732,5461,6394,4479,1796,3780,2592,2147,1539,2386
B002,01/01/2022,42634,61708,2668,3187,4336,740,1764,3574,1974,845,2654
B002,01/02/2022,42634,63664,6997,8220,2127,1718,1378,2381,1519,1763,1924
B002,01/03/2022,42634,66865,6143,7238,3162,1897,3352,3396,1674,981,2531
B002,01/04/2022,42634,60771,2299,2641,1451,1314,3721,4958,1891,566,1595
B002,01/05/2022,42634,69744,8972,10679,3460,1702,3556,2179,1555,1586,2393
B002,01/06/2022,42634,66626,6331,7299,2750,1234,2727,4748,1231,1487,2516
B002,01/07/2022,42634,66812,7997,9103,2579,955,2754,3891,1601,1221,2074
B002,01/08/2022,42634,73444,9453,11726,4840,1695,2181,4971,2829,1076,1492
B002,01/09/2022,42634,64130,2457,2940,4829,1085,2127,4894,2685,1187,1749
B002,01/10/2022,42634,60409,2281,2625,2764,926,3785,2736,1877,697,2365
B002,01/11/2022,42634,61810,3718,4481,3989,1548,2826,2547,1746,1168,871
B002,01/12/2022,42634,59991,2575,3116,2587,676,1825,3320,1882,1841,2110
B002,01/01/2023,43649,69902,9131,11022,4023,1093,1702,3200,1547,1747,1919
B002,01/02/2023,43649,67813,9683,11000,1446,1265,3140,4078,1199,801,1235
B002,01/03/2023,43649,66378,2167,2663,4282,1611,3036,4610,2186,1429,2912
B002,01/04/2023,43649,58854,2271,2581,1582,1147,2014,4082,1117,727,1955
B002,01/05/2023,43649,63556,4414,5340,2057,891,3282,3556,1169,1402,2210
B002,01/06/2023,43649,69018,9665,11165,4597,1732,1738,2898,1689,537,1013
B002,01/07/2023,43649,63329,5143,5873,1642,640,3901,3072,1771,1389,1392
B002,01/08/2023,43649,64695,7464,9132,2222,961,1265,3455,1620,898,1493
B002,01/09/2023,43649,64027,5452,6735,1748,1249,2351,3678,1226,552,2839
